chat_sample, dataset_origin
"[INST] ¿Cómo sería la expresión cron para ejecutar una tarea todos los días a las 9 de la mañana? [/INST] La expresión cron sería 0 9 * * *.[/END]", gestorjobs
"[INST] ¿Cuál es la expresión cron para programar una tarea cada 2 horas? [/INST] La expresión cron sería 0 */2 * * *.[/END]", gestorjobs
"[INST] ¿Cómo puedo expresar en cron una tarea que se ejecute los viernes a las 4:45 PM? [/INST] La expresión cron sería 45 16 * * 5.[/END]", gestorjobs
"[INST] ¿Cuál es la expresión cron para ejecutar una tarea el primer día de cada mes a medianoche? [/INST] La expresión cron sería 0 0 1 * *.[/END]", gestorjobs
"[INST] ¿Cómo se expresaría en cron una tarea que se ejecute cada 15 minutos durante las horas pares del día? [/INST] La expresión cron sería */15 * * * *.[/END]", gestorjobs
"[INST] ¿Cuál sería la expresión cron para ejecutar una tarea todos los años el 1 de enero a las 12:30 PM? [/INST] La expresión cron sería 30 12 1 1 *.[/END]", gestorjobs
"[INST] ¿Cómo puedo programar en cron una tarea que se ejecute los días impares del mes a las 8 de la noche? [/INST] La expresión cron sería 0 20 1-31/2 * *.[/END]", gestorjobs
"[INST] ¿Cuál es la expresión cron para ejecutar una tarea cada 5 minutos entre las 9 AM y las 5 PM, de lunes a viernes? [/INST] La expresión cron sería */5 9-17 * * 1-5.[/END]", gestorjobs
"[INST] ¿Cómo se expresaría en cron una tarea que se ejecute cada dos días a las 3 de la tarde? [/INST] La expresión cron sería 0 15 */2 * *.[/END]", gestorjobs
"[INST] ¿Cuál sería la expresión cron para ejecutar una tarea los sábados y domingos a las 10 de la mañana? [/INST] La expresión cron sería 0 10 * * 6,0.[/END]", gestorjobs
"[INST] ¿Cuál sería la expresión cron para ejecutar una tarea los días pares del mes a las 9 de la noche? [/INST] La expresión cron sería 0 21 2-31/2 * *.[/END]", gestorjobs
"[INST] ¿Cómo puedo expresar en cron una tarea que se ejecute cada 5 minutos durante las horas impares del día? [/INST] La expresión cron sería */5 1-23/2 * * *.[/END]", gestorjobs
"[INST] ¿Cuál es la expresión cron para ejecutar una tarea cada 30 minutos los días de semana a partir de las 10 AM y hasta las 4 PM? [/INST] La expresión cron sería 0,30 10-16 * * 1-5.[/END]", gestorjobs
"[INST] ¿Cómo se expresaría en cron una tarea que se ejecute cada hora durante los primeros 20 minutos de cada hora, solo los martes? [/INST] La expresión cron sería 0 0-19 * * 2.[/END]", gestorjobs
"[INST] ¿Cuál sería la expresión cron para ejecutar una tarea los días impares del mes a las 6 AM y a las 6 PM? [/INST] La expresión cron sería 0 6,18 1-31/2 * *.[/END]", gestorjobs
"[INST] ¿Cómo puedo programar en cron una tarea que se ejecute cada 10 segundos de lunes a viernes entre las 9 AM y las 5 PM? [/INST] La expresión cron sería */10 9-17 * * 1-5.[/END]", gestorjobs
"[INST] ¿Cuál es la expresión cron para ejecutar una tarea todos los días a las 3 de la tarde durante los primeros 10 días de cada mes? [/INST] La expresión cron sería 0 15 1-10 * *.[/END]", gestorjobs
"[INST] ¿Cómo se expresaría en cron una tarea que se ejecute cada 45 minutos durante las horas pares del día, todos los días? [/INST] La expresión cron sería */45 0-23/2 * * *.[/END]", gestorjobs
"[INST] ¿Cuál sería la expresión cron para ejecutar una tarea los días laborables a las 8:30 AM y a las 5:30 PM? [/INST] La expresión cron sería 30 8,17 * * 1-5.[/END]", gestorjobs
"[INST] ¿Cómo puedo expresar en cron una tarea que se ejecute cada hora y media los días impares del mes? [/INST] La expresión cron sería 0 */1.5 1-31/2 * *.[/END]", gestorjobs
"[INST] ¿Cuál sería la expresión cron para ejecutar una tarea todos los días a las 7 AM y a las 7 PM? [/INST] La expresión cron sería 0 7,19 * * *.[/END]", gestorjobs
